2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 54 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/payments_and_banking_operations/4a6fbf3ba5bf66fda98b121c7.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 123 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/payments_and_banking_operations/64b6f05f-196b-4894-9374-9e5c1c4df7a2.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 8 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/payments_and_banking_operations/9abef96e-dec9-4c51-b763-8ccf4e23afdd.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 3 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/payments_and_banking_operations/Azərbaycan Respublikasının 1999-cu il 22 iyun tarixli 689-IQ nömrəli Qanunu ilə təsdiq edilmiş «Ədalət mühakiməsinin rəsmi embleminin təsviri»ndə dəyişiklik edilməsi barədə.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 15 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/payments_and_banking_operations/Azərbaycan Respublikasının Mərkəzi Bankı - Azərbaycan Respublikasında elektron bankçılıq xidmətlərinin göstərilməsinə və bu xidmətlər üzrə təhlükəsizliyin təmin olunmasına dair Metodoloji Rəhbərlik.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 8 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/payments_and_banking_operations/Azərbaycan Respublikasının Mərkəzi Bankı - Azərbaycan Respublikasının bank sistemində ödəniş vasitələrinin maliyyə hesabatlarında uçotu Qaydaları.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 7 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/payments_and_banking_operations/Azərbaycan Respublikasının Mərkəzi Bankı - Sənədləşdirilmiş emissiya qiymətli kağızların sertifikatlarının məcburi rekvizitləri.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 123 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/payments_and_banking_operations/Bank Hesabları Qaydası.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 8 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/payments_and_banking_operations/Bank Şöbələri və Valyuta Qaydası.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 79 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/payments_and_banking_operations/Dənizkənarı Bulvar İdarəsinin fəaliyyətinin təmin edilməsi haqqında.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 6 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/payments_and_banking_operations/c8ef8b99-7b1c-442c-bf14-1f015ec0cc8e.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 23 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/payments_and_banking_operations/dd1aa268-4de2-48ab-8953-c87d3f1c74e3.jsonl'.
